# freq, amb_real amb_imag hot_real hot_imag open_real open_imag short_real short_imag lna_real lna_imag
5.478515600000e+01 -1.783333221136e-03 1.751333822182e-04 3.653887459792e-03 2.876147722034e-03 8.670874305749e-01 3.497935704587e-01 -8.821543013453e-01 -3.337502896918e-01 6.806077430732e-03 4.525123730475e-03
5.483398400000e+01 -1.783114811447e-03 1.753120925401e-04 3.655993484616e-03 2.876792796281e-03 8.698795933148e-01 3.428542067185e-01 -8.847542618678e-01 -3.265860555657e-01 6.811446436425e-03 4.491286742185e-03
5.488281200000e+01 -1.782896079427e-03 1.754898956452e-04 3.658099053230e-03 2.877433999093e-03 8.726166572781e-01 3.358917315790e-01 -8.872957185937e-01 -3.194026062923e-01 6.816649424264e-03 4.457487940338e-03
5.493164100000e+01 -1.782677046141e-03 1.756668237717e-04 3.660204152203e-03 2.878071420475e-03 8.752984773384e-01 3.289064321541e-01 -8.897785891682e-01 -3.122002772925e-01 6.821687613492e-03 4.423727252237e-03
5.498046900000e+01 -1.782457746508e-03 1.758428994263e-04 3.662308638664e-03 2.878705113215e-03 8.779247474272e-01 3.218990267816e-01 -8.922026433168e-01 -3.049798474249e-01 6.826561907423e-03 4.390006672019e-03
5.502929700000e+01 -1.782238202359e-03 1.760181570286e-04 3.664412499057e-03 2.879335171015e-03 8.804953300918e-01 3.148698066478e-01 -8.945678079422e-01 -2.977416539316e-01 6.831273512580e-03 4.356326112242e-03
5.507812500000e+01 -1.782018440335e-03 1.761926283066e-04 3.666515676761e-03 2.879961676019e-03 8.830100356838e-01 3.078192075344e-01 -8.968739625302e-01 -2.904861820368e-01 6.835823522718e-03 4.322686170357e-03
5.512695300000e+01 -1.781798487377e-03 1.763663458398e-04 3.668618115288e-03 2.880584711724e-03 8.854686778645e-01 3.007476669685e-01 -8.991209906015e-01 -2.832139176032e-01 6.840213023775e-03 4.289087436945e-03
5.517578100000e+01 -1.781578370691e-03 1.765393429719e-04 3.670719758355e-03 2.881204362814e-03 8.878710736208e-01 2.936556241982e-01 -9.013087797144e-01 -2.759253470984e-01 6.844443093961e-03 4.255530495755e-03
5.522460900000e+01 -1.781358117722e-03 1.767116537269e-04 3.672820549958e-03 2.881820714990e-03 8.902170432810e-01 2.865435201682e-01 -9.034372214668e-01 -2.686209575613e-01 6.848514803846e-03 4.222015923746e-03
5.527343800000e+01 -1.781137751606e-03 1.768833162375e-04 3.674920477438e-03 2.882433867336e-03 8.925064568356e-01 2.794116512391e-01 -9.055062532613e-01 -2.613010865074e-01 6.852429295008e-03 4.188543606065e-03
5.532226600000e+01 -1.780917309197e-03 1.770543586178e-04 3.677019399540e-03 2.883043882003e-03 8.947390475665e-01 2.722607537987e-01 -9.075156900322e-01 -2.539665218438e-01 6.856187462672e-03 4.155115477216e-03
5.537109400000e+01 -1.780696813955e-03 1.772248199803e-04 3.679117304516e-03 2.883650859401e-03 8.969146933853e-01 2.650911278748e-01 -9.094654784876e-01 -2.466176023712e-01 6.859790436761e-03 4.121731408077e-03
5.541992200000e+01 -1.780476293974e-03 1.773947362882e-04 3.681214138145e-03 2.884254887761e-03 8.990332281399e-01 2.579032209517e-01 -9.113555263982e-01 -2.392548170812e-01 6.863239258118e-03 4.088391948833e-03
5.546875000000e+01 -1.780255777439e-03 1.775641438079e-04 3.683309846802e-03 2.884856055587e-03 9.010944890961e-01 2.506974820866e-01 -9.131857455798e-01 -2.318786553703e-01 6.866534960354e-03 4.055097643076e-03
5.551757800000e+01 -1.780035292598e-03 1.777330790409e-04 3.685404377517e-03 2.885454451524e-03 9.030983169526e-01 2.434743618847e-01 -9.149560518938e-01 -2.244896070058e-01 6.869678569931e-03 4.021849027841e-03
5.556640600000e+01 -1.779814867734e-03 1.779015786597e-04 3.687497678032e-03 2.886050164231e-03 9.050445558557e-01 2.362343124740e-01 -9.166663652468e-01 -2.170881620932e-01 6.872671106234e-03 3.988646633647e-03
5.561523400000e+01 -1.779594531145e-03 1.780696794450e-04 3.689589696846e-03 2.886643282255e-03 9.069330534141e-01 2.289777874803e-01 -9.183166095901e-01 -2.096748110420e-01 6.875513581650e-03 3.955490984535e-03
5.566406200000e+01 -1.779374311110e-03 1.782374182259e-04 3.691680383267e-03 2.887233893918e-03 9.087636607132e-01 2.217052420017e-01 -9.199067129190e-01 -2.022500445328e-01 6.878207001643e-03 3.922382598106e-03
5.571289100000e+01 -1.779154231367e-03 1.784048352484e-04 3.693769730234e-03 2.887822099222e-03 9.105362680373e-01 2.144169831666e-01 -9.214366379870e-01 -1.948142010916e-01 6.880752415445e-03 3.889321308972e-03
5.576171900000e+01 -1.778934329107e-03 1.785719604123e-04 3.695857603231e-03 2.888407961606e-03 9.122506608618e-01 2.071137674716e-01 -9.229062582082e-01 -1.873680764158e-01 6.883150710649e-03 3.856308976148e-03
5.581054700000e+01 -1.778714627909e-03 1.787388337895e-04 3.697943997066e-03 2.888991580120e-03 9.139067376866e-01 1.997959051772e-01 -9.243155456508e-01 -1.799120096250e-01 6.885402926021e-03 3.823345420575e-03
5.585937500000e+01 -1.778495155752e-03 1.789054918530e-04 3.700028864723e-03 2.889573041091e-03 9.155043636484e-01 1.924638570172e-01 -9.256644444717e-01 -1.724464921496e-01 6.887510040048e-03 3.790431134485e-03
5.590820300000e+01 -1.778275940480e-03 1.790719708610e-04 3.702112160205e-03 2.890152430101e-03 9.170434074319e-01 1.851180850705e-01 -9.269529028632e-01 -1.649720155240e-01 6.889473024648e-03 3.757566603864e-03
